"CHR" "POS1" "POS2"
"2L" 5762 744025
"2L" 744025 1193284
"2L" 1193285 1690225
"2L" 1690225 2218046
"2L" 2218046 2636881
"2L" 2636881 3092540
"2L" 3092541 3476074
"2L" 3476074 3794822
"2L" 3794823 4126805
"2L" 4126805 4414714
"2L" 4414713 4859682
"2L" 4859683 5331064
"2L" 5331065 5694811
"2L" 5694811 6094172
"2L" 6094172 6381744
"2L" 6381744 6728378
"2L" 6728379 7114562
"2L" 7114561 7539414
"2L" 7539415 7917940
"2L" 7917941 8376978
"2L" 8376977 8800188
"2L" 8800189 9148710
"2L" 9148711 9578020
"2L" 9578020 9892645
"2L" 9892645 10306748
"2L" 10306747 10704264
"2L" 10704265 11193593
"2L" 11193593 11500794
"2L" 11500793 11859944
"2L" 11859943 12191486
"2L" 12191486 12552348
"2L" 12552347 13146632
"2L" 13146632 13680470
"2L" 13680470 14032008
"2L" 14032007 14486070
"2L" 14486071 14897828
"2L" 14897828 15197561
"2L" 15197561 15754096
"2L" 15754097 16197977
"2L" 16197977 16620212
"2L" 16620213 17172680
"2L" 17172680 17793602
"2L" 17793602 18565498
"2L" 18565498 19263050
"2L" 19263050 19947654
"2L" 19947653 20833360
"2L" 20833360 23010701
"2R" 676943 6227674
"2R" 6227675 7341652
"2R" 7341651 8335888
"2R" 8335887 9400262
"2R" 9400261 10139501
"2R" 10139501 10438815
"2R" 10438815 10931938
"2R" 10931937 11324145
"2R" 11324145 11815702
"2R" 11815701 12225486
"2R" 12225486 12627001
"2R" 12627001 13199856
"2R" 13199857 13632450
"2R" 13632450 14085148
"2R" 14085148 14536422
"2R" 14536421 14802756
"2R" 14802756 15178538
"2R" 15178539 15595680
"2R" 15595681 15980422
"2R" 15980421 16361097
"2R" 16361097 16674092
"2R" 16674091 17087600
"2R" 17087599 17614884
"2R" 17614883 17958519
"2R" 17958519 18417590
"2R" 18417589 18818542
"2R" 18818543 19203480
"2R" 19203479 19801056
"2R" 19801055 20227552
"2R" 20227553 20682534
"2R" 20682535 21021844
"2R" 21021844 21428948
"2R" 21428948 21751757
"2R" 21751757 22034268
"2R" 22034267 22407053
"2R" 22407053 22811706
"2R" 22811707 23294799
"2R" 23294799 23809165
"2R" 23809165 24336281
"3L" 66513 847438
"3L" 847439 1256432
"3L" 1256432 1631726
"3L" 1631727 1958437
"3L" 1958437 2266099
"3L" 2266099 2578995
"3L" 2578995 2872424
"3L" 2872425 3282490
"3L" 3282489 3759466
"3L" 3759465 4097904
"3L" 4097904 4602416
"3L" 4602415 4997153
"3L" 4997153 5400326
"3L" 5400327 5870906
"3L" 5870906 6359338
"3L" 6359338 6850212
"3L" 6850213 7255861
"3L" 7255861 7702840
"3L" 7702841 8144422
"3L" 8144421 8653282
"3L" 8653283 9208532
"3L" 9208531 9546717
"3L" 9546717 9887784
"3L" 9887784 10300976
"3L" 10300976 10640254
"3L" 10640254 10969467
"3L" 10969467 11244044
"3L" 11244045 11629591
"3L" 11629591 12000350
"3L" 12000350 12351770
"3L" 12351769 12731914
"3L" 12731913 13147049
"3L" 13147049 13490798
"3L" 13490799 14048387
"3L" 14048387 14407750
"3L" 14407749 14928069
"3L" 14928069 15332964
"3L" 15332965 15890907
"3L" 15890907 16487296
"3L" 16487297 17172482
"3L" 17172482 17917078
"3L" 17917078 18269111
"3L" 18269111 18489199
"3L" 18489199 18892636
"3L" 18892637 19547282
"3L" 19547281 20805857
"3L" 20805857 21729887
"3L" 21729887 22399004
"3L" 22399003 23316099
"3R" 87260 5786578
"3R" 5786578 6657688
"3R" 6657687 7199446
"3R" 7199445 7931841
"3R" 7931841 9076542
"3R" 9076542 10412949
"3R" 10412949 11243376
"3R" 11243377 11942966
"3R" 11942966 12861670
"3R" 12861671 13725596
"3R" 13725596 14313172
"3R" 14313171 14902415
"3R" 14902415 15472980
"3R" 15472981 16172888
"3R" 16172888 16868054
"3R" 16868055 17369829
"3R" 17369829 17847052
"3R" 17847053 18194528
"3R" 18194527 18692082
"3R" 18692081 19127266
"3R" 19127265 19549562
"3R" 19549562 20070828
"3R" 20070829 20629706
"3R" 20629707 21112968
"3R" 21112967 21690692
"3R" 21690692 22231134
"3R" 22231135 22748892
"3R" 22748891 23223234
"3R" 23223234 23775049
"3R" 23775049 24493770
"3R" 24493771 25054840
"3R" 25054840 25629806
"3R" 25629806 26258798
"3R" 26258797 26836410
"3R" 26836410 27423536
"3R" 27423535 27988366
"3R" 27988366 28522472
"3R" 28522472 29195530
"3R" 29195529 29555484
"3R" 29555484 30007322
"3R" 30007321 30358264
"3R" 30358264 30747954
"3R" 30747955 31204481
"X" 156503 1771056
"X" 1771056 2318560
"X" 2318561 3035448
"X" 3035449 3632560
"X" 3632560 4319186
"X" 4319186 4977724
"X" 4977724 5561926
"X" 5561927 6291126
"X" 6291126 6884066
"X" 6884066 7748860
"X" 7748859 8316934
"X" 8316933 8829212
"X" 8829211 9384145
"X" 9384145 10101616
"X" 10101617 11029822
"X" 11029821 12017404
"X" 12017405 12620546
"X" 12620546 13313458
"X" 13313459 14012730
"X" 14012731 14682548
"X" 14682547 15433100
"X" 15433100 16118808
"X" 16118809 16699160
"X" 16699160 17140691
"X" 17140691 17823658
"X" 17823659 18588334
"X" 18588335 19547308
"X" 19547308 20385592
"X" 20385591 20871103
"X" 20871103 21566474
